Date,Close
2022-02-01,81.04000091552734
2022-02-02,82.5
2022-02-03,81.94000244140625
2022-02-04,82.11000061035156
2022-02-05,82.11000061035156
2022-02-06,82.11000061035156
2022-02-07,80.73999786376953
2022-02-08,80.79000091552734
2022-02-09,83.44999694824219
2022-02-10,81.8499984741211
2022-02-11,79.75
2022-02-12,79.75
2022-02-13,79.75
2022-02-14,78.94999694824219
2022-02-15,79.7699966430664
2022-02-16,79.19000244140625
2022-02-17,75.52999877929688
2022-02-18,74.56999969482422
2022-02-19,74.56999969482422
2022-02-20,74.56999969482422
2022-02-21,74.56999969482422
2022-02-22,74.12000274658203
2022-02-23,72.47000122070312
2022-02-24,74.80999755859375
2022-02-25,76.3499984741211
2022-02-26,76.3499984741211
2022-02-27,76.3499984741211
2022-02-28,75.97000122070312
2022-03-01,76.01000213623047
2022-03-02,78.27999877929688
2022-03-03,78.25
2022-03-04,76.48999786376953
2022-03-05,76.48999786376953
2022-03-06,76.48999786376953
2022-03-07,74.31999969482422
2022-03-08,73.33000183105469
2022-03-09,76.0999984741211
2022-03-10,76.6500015258789
2022-03-11,77.81999969482422
2022-03-12,77.81999969482422
2022-03-13,77.81999969482422
2022-03-14,77.06999969482422
2022-03-15,80.5999984741211
2022-03-16,79.95999908447266
2022-03-17,80.5999984741211
2022-03-18,81.68000030517578
2022-03-19,81.68000030517578
2022-03-20,81.68000030517578
2022-03-21,80.95999908447266
2022-03-22,81.80000305175781
2022-03-23,80.38999938964844
2022-03-24,82.23999786376953
2022-03-25,81.7300033569336
2022-03-26,81.7300033569336
2022-03-27,81.7300033569336
2022-03-28,83.5999984741211
2022-03-29,84.29000091552734
2022-03-30,83.36000061035156
2022-03-31,82.7300033569336
2022-04-01,82.01000213623047
2022-04-02,82.01000213623047
2022-04-03,82.01000213623047
2022-04-04,84.06999969482422
2022-04-05,82.94000244140625
2022-04-06,82.12000274658203
2022-04-07,81.54000091552734
2022-04-08,80.94000244140625
2022-04-09,80.94000244140625
2022-04-10,80.94000244140625
2022-04-11,79.76000213623047
2022-04-12,79.33000183105469
2022-04-13,79.75
2022-04-14,79.44999694824219
2022-04-15,79.44999694824219
2022-04-16,79.44999694824219
2022-04-17,79.44999694824219
2022-04-18,78.22000122070312
2022-04-19,79.55999755859375
2022-04-20,80.29000091552734
2022-04-21,79.4800033569336
2022-04-22,76.20999908447266
2022-04-23,76.20999908447266
2022-04-24,76.20999908447266
2022-04-25,76.9800033569336
2022-04-26,74.51000213623047
2022-04-27,74.76000213623047
2022-04-28,76.13999938964844
2022-04-29,73.4000015258789
2022-04-30,73.4000015258789
2022-05-01,73.4000015258789
2022-05-02,74.0
2022-05-03,73.29000091552734
2022-05-04,75.20999908447266
2022-05-05,72.80000305175781
2022-05-06,72.48999786376953
2022-05-07,72.48999786376953
2022-05-08,72.48999786376953
2022-05-09,71.54000091552734
2022-05-10,72.52999877929688
2022-05-11,71.02999877929688
2022-05-12,70.7300033569336
2022-05-13,71.16999816894531
2022-05-14,71.16999816894531
2022-05-15,71.16999816894531
2022-05-16,69.70999908447266
2022-05-17,71.87999725341797
2022-05-18,68.30000305175781
2022-05-19,67.04000091552734
2022-05-20,68.62999725341797
2022-05-21,68.62999725341797
2022-05-22,68.62999725341797
2022-05-23,70.04000091552734
2022-05-24,69.02999877929688
2022-05-25,69.83000183105469
2022-05-26,71.66000366210938
2022-05-27,72.77999877929688
2022-05-28,72.77999877929688
2022-05-29,72.77999877929688
2022-05-30,72.77999877929688
2022-05-31,71.91999816894531
2022-06-01,71.5999984741211
2022-06-02,73.13999938964844
2022-06-03,71.79000091552734
2022-06-04,71.79000091552734
2022-06-05,71.79000091552734
2022-06-06,72.97000122070312
2022-06-07,72.69000244140625
2022-06-08,71.37999725341797
2022-06-09,69.22000122070312
2022-06-10,67.13999938964844
2022-06-11,67.13999938964844
2022-06-12,67.13999938964844
2022-06-13,64.05000305175781
2022-06-14,70.72000122070312
2022-06-15,69.69999694824219
2022-06-16,68.70999908447266
2022-06-17,67.72000122070312
2022-06-18,67.72000122070312
2022-06-19,67.72000122070312
2022-06-20,67.72000122070312
2022-06-21,67.68000030517578
2022-06-22,66.52999877929688
2022-06-23,67.62999725341797
2022-06-24,70.69999694824219
2022-06-25,70.69999694824219
2022-06-26,70.69999694824219
2022-06-27,70.41000366210938
2022-06-28,68.58000183105469
2022-06-29,69.20999908447266
2022-06-30,69.87000274658203
2022-07-01,70.87000274658203
2022-07-02,70.87000274658203
2022-07-03,70.87000274658203
2022-07-04,70.87000274658203
2022-07-05,71.98999786376953
2022-07-06,71.66000366210938
2022-07-07,71.83000183105469
2022-07-08,71.87000274658203
2022-07-09,71.87000274658203
2022-07-10,71.87000274658203
2022-07-11,71.56999969482422
2022-07-12,70.41000366210938
2022-07-13,70.02999877929688
2022-07-14,69.44999694824219
2022-07-15,70.73999786376953
2022-07-16,70.73999786376953
2022-07-17,70.73999786376953
2022-07-18,70.20999908447266
2022-07-19,72.23999786376953
2022-07-20,72.58999633789062
2022-07-21,74.54000091552734
2022-07-22,74.9000015258789
2022-07-23,74.9000015258789
2022-07-24,74.9000015258789
2022-07-25,74.86000061035156
2022-07-26,74.02999877929688
2022-07-27,75.87000274658203
2022-07-28,77.04000091552734
2022-07-29,77.83999633789062
2022-07-30,77.83999633789062
2022-07-31,77.83999633789062
