date,close
2022-09-26,97.74
2022-09-27,97.21
2022-09-28,98.16
2022-09-29,96.98
2022-09-30,95.37
2022-10-03,97.76
2022-10-04,100.52
2022-10-05,100.45
2022-10-06,98.58
2022-10-07,88.25
2022-10-10,88.25
2022-10-11,88.5
2022-10-12,87.84
2022-10-13,90.1
2022-10-14,89.3
2022-10-17,90.89
2022-10-18,91.94
2022-10-19,91.66
2022-10-20,90.99
2022-10-21,92.72
2022-10-24,94.8
2022-10-25,92.22
2022-10-26,92.73
2022-10-27,92.7
2022-10-28,94.19
2022-10-31,94.7
2022-11-01,94.62
2022-11-02,96.8
2022-11-03,97.8
2022-11-04,99.56
2022-11-07,101.18
2022-11-08,101.65
2022-11-09,99.56
2022-11-10,99.91
2022-11-11,97.55
2022-11-14,97.17
2022-11-15,97.73
2022-11-16,96.1
2022-11-17,94.93
2022-11-18,97.35
2022-11-21,97.89
2022-11-22,99.51
2022-11-23,100.06
2022-11-25,101.26
2022-11-28,100.41
2022-11-29,100.88
2022-11-30,101.88
2022-12-01,101.65
2022-12-02,102.58
2022-12-05,102.01
2022-12-06,101.19
2022-12-07,102.28
2022-12-08,102.53
2022-12-09,101.65
2022-12-12,103.79
2022-12-13,101.19
2022-12-14,100.68
2022-12-15,97.6
2022-12-16,95.45
2022-12-19,95.05
2022-12-20,95
2022-12-21,94.12
2022-12-22,93.4
2022-12-23,93.56
2022-12-27,93.02
2022-12-28,92.76
2022-12-29,93.45
2022-12-30,93.19
2023-01-03,92.91
2023-01-04,91.98
2023-01-05,90.45
2023-01-06,91.6
2023-01-09,91.49
2023-01-10,90.65
2023-01-11,89.75
2023-01-12,89.18
2023-01-13,89.92
2023-01-17,89.37
2023-01-18,88.2
2023-01-19,87.48
2023-01-20,87
2023-01-23,87.2
2023-01-24,86.02
2023-01-25,85.75
2023-01-26,87.66
2023-01-27,87.78
2023-01-30,87.05
2023-01-31,88.22
2023-02-01,87.49
2023-02-02,86.18
2023-02-03,85.77
2023-02-06,85.25
2023-02-07,85.98
2023-02-08,88.96
2023-02-09,90.07
2023-02-10,89.66
2023-02-13,89.87
2023-02-14,88.52
2023-02-15,88.35
2023-02-16,87.97
2023-02-17,88.58
2023-02-21,87.62
2023-02-22,87.21
2023-02-23,86.87
2023-02-24,85.77
2023-02-27,84.84
2023-02-28,83.54
2023-03-01,82.47
2023-03-02,81.43
2023-03-03,81.81
2023-03-06,82.97
2023-03-07,80.45
2023-03-08,79.81
2023-03-09,77
2023-03-10,77.1
2023-03-13,76.28
2023-03-14,75.56
2023-03-15,75.4
2023-03-16,75.83
2023-03-17,74.37
2023-03-20,74.98
2023-03-21,75.56
2023-03-22,74.41
2023-03-23,72.37
2023-03-24,73.26
2023-03-27,73.57
2023-03-28,73.12
2023-03-29,74.09
2023-03-30,74.7
2023-03-31,74.31
2023-04-03,76.09
2023-04-04,76.25
2023-04-05,77.75
2023-04-06,77.54
2023-04-10,76.04
2023-04-11,76.29
2023-04-12,74.92
2023-04-13,75.42
2023-04-14,74.7
2023-04-17,75.8
2023-04-18,76.14
2023-04-19,74.21
2023-04-20,73.25
2023-04-21,72.84
2023-04-24,73.44
2023-04-25,72.87
2023-04-26,72.26
2023-04-27,73.06
2023-04-28,73.31
2023-05-01,73.89
2023-05-02,72.76
2023-05-03,70.08
2023-05-04,68.79
2023-05-05,70.68
2023-05-08,69.68
2023-05-09,69.97
2023-05-10,69.71
2023-05-11,68.97
2023-05-12,68.58
2023-05-15,68.85
2023-05-16,67.1
2023-05-17,69.43
2023-05-18,69.31
2023-05-19,69.38
2023-05-22,69.42
2023-05-23,69.67
2023-05-24,68.82
2023-05-25,67.67
2023-05-26,67.64
2023-05-30,67.15
2023-05-31,68.03
2023-06-01,68.88
2023-06-02,69.99
2023-06-05,70.74
2023-06-06,70.51
2023-06-07,71.48
2023-06-08,71.75
2023-06-09,71.76
2023-06-12,71.5
2023-06-13,72.26
2023-06-14,66.65
2023-06-15,69.5
2023-06-16,67.72
2023-06-20,68.67
2023-06-21,68.77
2023-06-22,69.41
2023-06-23,69.6
2023-06-26,69.85
2023-06-27,68.68
2023-06-28,68.14
2023-06-29,68.76
2023-06-30,69.13
2023-07-03,69.77
2023-07-05,69.59
2023-07-06,69.54
2023-07-07,69.17
2023-07-10,69.36
2023-07-11,71.27
2023-07-12,70.47
2023-07-13,71.22
2023-07-14,71.38
2023-07-17,71.17
2023-07-18,72.31
2023-07-19,74.38
2023-07-20,74.87
2023-07-21,75.05
2023-07-24,75.95
2023-07-25,75.66
2023-07-26,75.1
2023-07-27,75.47
2023-07-28,74.61
2023-07-31,74.69
2023-08-01,73.95
2023-08-02,76.41
2023-08-03,74.32
2023-08-04,72.89
2023-08-07,73.91
2023-08-08,74
2023-08-09,74.6
2023-08-10,73.96
2023-08-11,74.87
2023-08-14,74.34
2023-08-15,73.33
2023-08-16,72.72
2023-08-17,66.8
2023-08-18,66.81
2023-08-21,67.08
2023-08-22,67.05
2023-08-23,66.4
2023-08-24,66.49
2023-08-25,67.32
2023-08-28,67.24
2023-08-29,67.13
2023-08-30,66.83
2023-08-31,65.17
2023-09-01,65.67
2023-09-05,65.61
2023-09-06,65.51
2023-09-07,65.6
2023-09-08,65.84
2023-09-11,68.75
2023-09-12,70.52
2023-09-13,70.24
2023-09-14,69.95
2023-09-15,70.87
2023-09-18,70.7
2023-09-19,71.99
2023-09-20,71.41
