Date,Close
2022-02-12,104.24
2022-02-13,104.24
2022-02-14,103.0
2022-02-15,102.97
2022-02-16,103.94
2022-02-17,102.3
2022-02-18,102.13
2022-02-19,102.13
2022-02-20,102.13
2022-02-21,102.13
2022-02-22,101.92
2022-02-23,102.24
2022-02-24,100.77
2022-02-25,104.3
2022-02-26,104.3
2022-02-27,104.3
2022-02-28,103.65
2022-03-01,102.05
2022-03-02,104.43
2022-03-03,104.54
2022-03-04,105.19
2022-03-05,105.19
2022-03-06,105.19
2022-03-07,104.56
2022-03-08,102.36
2022-03-09,103.6
2022-03-10,104.08
2022-03-11,103.47
2022-03-12,103.47
2022-03-13,103.47
2022-03-14,104.49
2022-03-15,106.98
2022-03-16,107.11
2022-03-17,108.56
2022-03-18,107.3
2022-03-19,107.3
2022-03-20,107.3
2022-03-21,107.39
2022-03-22,107.23
2022-03-23,106.2
2022-03-24,108.05
2022-03-25,108.56
2022-03-26,108.56
2022-03-27,108.56
2022-03-28,108.04
2022-03-29,104.68
2022-03-30,103.55
2022-03-31,101.21
2022-04-01,101.09
2022-04-02,101.09
2022-04-03,101.09
2022-04-04,100.0
2022-04-05,99.46
2022-04-06,102.06
2022-04-07,103.61
2022-04-08,106.61
2022-04-09,106.61
2022-04-10,106.61
2022-04-11,104.45
2022-04-12,104.64
2022-04-13,104.98
2022-04-14,103.68
2022-04-15,103.68
2022-04-16,103.68
2022-04-17,103.68
2022-04-18,103.42
2022-04-19,103.86
2022-04-20,106.64
2022-04-21,105.18
2022-04-22,101.68
2022-04-23,101.68
2022-04-24,101.68
2022-04-25,101.77
2022-04-26,101.43
2022-04-27,100.85
2022-04-28,100.85
2022-04-29,96.13
2022-04-30,96.13
2022-05-01,96.13
2022-05-02,96.5
2022-05-03,95.98
2022-05-04,100.57
2022-05-05,97.73
2022-05-06,100.69
2022-05-07,100.69
2022-05-08,100.69
2022-05-09,98.86
2022-05-10,98.16
2022-05-11,97.99
2022-05-12,98.25
2022-05-13,97.48
2022-05-14,97.48
2022-05-15,97.48
2022-05-16,98.55
2022-05-17,99.38
2022-05-18,94.02
2022-05-19,93.14
2022-05-20,94.93
2022-05-21,94.93
2022-05-22,94.93
2022-05-23,95.57
2022-05-24,96.45
2022-05-25,97.15
2022-05-26,97.8
2022-05-27,98.05
2022-05-28,98.05
2022-05-29,98.05
2022-05-30,98.05
2022-05-31,96.75
2022-06-01,96.54
2022-06-02,97.23
2022-06-03,94.9
2022-06-04,94.9
2022-06-05,94.9
2022-06-06,95.72
2022-06-07,95.92
2022-06-08,93.88
2022-06-09,92.74
2022-06-10,93.17
2022-06-11,93.17
2022-06-12,93.17
2022-06-13,90.89
2022-06-14,90.64
2022-06-15,91.45
2022-06-16,89.85
2022-06-17,88.66
2022-06-18,88.66
2022-06-19,88.66
2022-06-20,88.66
2022-06-21,91.08
2022-06-22,91.29
2022-06-23,92.37
2022-06-24,94.52
2022-06-25,94.52
2022-06-26,94.52
2022-06-27,94.54
2022-06-28,93.2
2022-06-29,93.35
2022-06-30,92.66
2022-07-01,93.94
2022-07-02,93.94
2022-07-03,93.94
2022-07-04,93.94
2022-07-05,92.53
2022-07-06,93.19
2022-07-07,93.73
2022-07-08,94.18
2022-07-09,94.18
2022-07-10,94.18
2022-07-11,94.71
2022-07-12,94.98
2022-07-13,93.45
2022-07-14,92.83
2022-07-15,95.37
2022-07-16,95.37
2022-07-17,95.37
2022-07-18,94.29
2022-07-19,96.79
2022-07-20,95.15
2022-07-21,93.19
2022-07-22,94.06
2022-07-23,94.06
2022-07-24,94.06
2022-07-25,94.49
2022-07-26,95.31
2022-07-27,95.87
2022-07-28,95.53
2022-07-29,95.68
2022-07-30,95.68
2022-07-31,95.68
2022-08-01,96.02
2022-08-02,95.37
2022-08-03,101.38
2022-08-04,101.87
2022-08-05,102.26
2022-08-06,102.26
2022-08-07,102.26
2022-08-08,102.0
2022-08-09,103.69
2022-08-10,104.05
2022-08-11,104.25
2022-08-12,106.39
2022-08-13,106.39
2022-08-14,106.39
2022-08-15,106.27
2022-08-16,106.43
2022-08-17,104.92
2022-08-18,103.64
2022-08-19,104.05
2022-08-20,104.05
2022-08-21,104.05
2022-08-22,102.34
2022-08-23,101.13
2022-08-24,101.28
2022-08-25,102.15
2022-08-26,100.06
2022-08-27,100.06
2022-08-28,100.06
2022-08-29,100.33
2022-08-30,98.8
2022-08-31,98.15
2022-09-01,99.93
2022-09-02,99.44
2022-09-03,99.44
2022-09-04,99.44
2022-09-05,99.44
2022-09-06,98.73
2022-09-07,100.68
2022-09-08,102.26
2022-09-09,102.15
2022-09-10,102.15
2022-09-11,102.15
2022-09-12,103.04
2022-09-13,100.45
2022-09-14,101.05
2022-09-15,102.31
2022-09-16,102.06
2022-09-17,102.06
2022-09-18,102.06
2022-09-19,102.11
2022-09-20,101.34
2022-09-21,99.77
2022-09-22,99.83
2022-09-23,98.35
2022-09-24,98.35
2022-09-25,98.35
2022-09-26,97.74
2022-09-27,97.21
2022-09-28,98.16
2022-09-29,96.98
2022-09-30,95.37
2022-10-01,95.37
2022-10-02,95.37
2022-10-03,97.76
2022-10-04,100.52
2022-10-05,100.45
2022-10-06,98.58
2022-10-07,88.25
2022-10-08,88.25
2022-10-09,88.25
2022-10-10,88.25
2022-10-11,88.5
2022-10-12,87.84
2022-10-13,90.1
2022-10-14,89.3
2022-10-15,89.3
2022-10-16,89.3
2022-10-17,90.89
2022-10-18,91.94
2022-10-19,91.66
2022-10-20,90.99
2022-10-21,92.72
2022-10-22,92.72
2022-10-23,92.72
2022-10-24,94.8
2022-10-25,92.22
2022-10-26,92.73
2022-10-27,92.7
2022-10-28,94.19
2022-10-29,94.19
2022-10-30,94.19
2022-10-31,94.7
2022-11-01,94.62
2022-11-02,96.8
2022-11-03,97.8
2022-11-04,99.56
2022-11-05,99.56
2022-11-06,99.56
2022-11-07,101.18
2022-11-08,101.65
2022-11-09,99.56
2022-11-10,99.91
2022-11-11,97.55
2022-11-12,97.55
2022-11-13,97.55
2022-11-14,97.17
2022-11-15,97.73
2022-11-16,96.1
2022-11-17,94.93
2022-11-18,97.35
2022-11-19,97.35
2022-11-20,97.35
2022-11-21,97.89
2022-11-22,99.51
2022-11-23,100.06
2022-11-24,100.06
2022-11-25,101.26
2022-11-26,101.26
2022-11-27,101.26
2022-11-28,100.41
2022-11-29,100.88
2022-11-30,101.88
2022-12-01,101.65
2022-12-02,102.58
2022-12-03,102.58
2022-12-04,102.58
2022-12-05,102.01
2022-12-06,101.19
2022-12-07,102.28
2022-12-08,102.53
2022-12-09,101.65
2022-12-10,101.65
2022-12-11,101.65
2022-12-12,103.79
2022-12-13,101.19
2022-12-14,100.68
2022-12-15,97.6
2022-12-16,95.45
2022-12-17,95.45
2022-12-18,95.45
2022-12-19,95.05
2022-12-20,95.0
2022-12-21,94.12
2022-12-22,93.4
2022-12-23,93.56
2022-12-24,93.56
2022-12-25,93.56
2022-12-26,93.56
2022-12-27,93.02
2022-12-28,92.76
2022-12-29,93.45
2022-12-30,93.19
2022-12-31,93.19
2023-01-01,93.19
2023-01-02,93.19
2023-01-03,92.91
2023-01-04,91.98
2023-01-05,90.45
2023-01-06,91.6
2023-01-07,91.6
2023-01-08,91.6
2023-01-09,91.49
2023-01-10,90.65
2023-01-11,89.75
2023-01-12,89.18
2023-01-13,89.92
2023-01-14,89.92
2023-01-15,89.92
2023-01-16,89.92
2023-01-17,89.37
2023-01-18,88.2
2023-01-19,87.48
2023-01-20,87.0
2023-01-21,87.0
2023-01-22,87.0
2023-01-23,87.2
2023-01-24,86.02
2023-01-25,85.75
2023-01-26,87.66
2023-01-27,87.78
2023-01-28,87.78
2023-01-29,87.78
2023-01-30,87.05
2023-01-31,88.22
2023-02-01,87.49
2023-02-02,86.18
2023-02-03,85.77
2023-02-04,85.77
2023-02-05,85.77
2023-02-06,85.25
2023-02-07,85.98
2023-02-08,88.96
2023-02-09,90.07
2023-02-10,89.66
2023-02-11,89.66
2023-02-12,89.66
2023-02-13,89.87
2023-02-14,88.52
2023-02-15,88.35
2023-02-16,87.97
2023-02-17,88.58
2023-02-18,88.58
2023-02-19,88.58
2023-02-20,88.58
2023-02-21,87.62
2023-02-22,87.21
2023-02-23,86.87
2023-02-24,85.77
2023-02-25,85.77
2023-02-26,85.77
2023-02-27,84.84
2023-02-28,83.54
2023-03-01,82.47
2023-03-02,81.43
2023-03-03,81.81
2023-03-04,81.81
2023-03-05,81.81
2023-03-06,82.97
2023-03-07,80.45
2023-03-08,79.81
2023-03-09,77.0
2023-03-10,77.1
2023-03-11,77.1
2023-03-12,77.1
2023-03-13,76.28
2023-03-14,75.56
2023-03-15,75.4
2023-03-16,75.83
2023-03-17,74.37
2023-03-18,74.37
2023-03-19,74.37
2023-03-20,74.98
2023-03-21,75.56
2023-03-22,74.41
2023-03-23,72.37
2023-03-24,73.26
2023-03-25,73.26
2023-03-26,73.26
2023-03-27,73.57
2023-03-28,73.12
2023-03-29,74.09
2023-03-30,74.7
2023-03-31,74.31
2023-04-01,74.31
2023-04-02,74.31
2023-04-03,76.09
2023-04-04,76.25
2023-04-05,77.75
2023-04-06,77.54
2023-04-07,77.54
2023-04-08,77.54
2023-04-09,77.54
2023-04-10,76.04
2023-04-11,76.29
2023-04-12,74.92
2023-04-13,75.42
2023-04-14,74.7
2023-04-15,74.7
2023-04-16,74.7
2023-04-17,75.8
2023-04-18,76.14
2023-04-19,74.21
2023-04-20,73.25
2023-04-21,72.84
2023-04-22,72.84
2023-04-23,72.84
2023-04-24,73.44
2023-04-25,72.87
2023-04-26,72.26
2023-04-27,73.06
2023-04-28,73.31
2023-04-29,73.31
2023-04-30,73.31
2023-05-01,73.89
2023-05-02,72.76
2023-05-03,70.08
2023-05-04,68.79
2023-05-05,70.68
2023-05-06,70.68
2023-05-07,70.68
2023-05-08,69.68
2023-05-09,69.97
2023-05-10,69.71
2023-05-11,68.97
2023-05-12,68.58
2023-05-13,68.58
2023-05-14,68.58
2023-05-15,68.85
2023-05-16,67.1
2023-05-17,69.43
2023-05-18,69.31
2023-05-19,69.38
2023-05-20,69.38
2023-05-21,69.38
2023-05-22,69.42
2023-05-23,69.67
2023-05-24,68.82
2023-05-25,67.67
2023-05-26,67.64
2023-05-27,67.64
2023-05-28,67.64
2023-05-29,67.64
2023-05-30,67.15
2023-05-31,68.03
2023-06-01,68.88
2023-06-02,69.99
2023-06-03,69.99
2023-06-04,69.99
2023-06-05,70.74
2023-06-06,70.51
2023-06-07,71.48
2023-06-08,71.75
2023-06-09,71.76
2023-06-10,71.76
2023-06-11,71.76
2023-06-12,71.5
2023-06-13,72.26
2023-06-14,66.65
2023-06-15,69.5
2023-06-16,67.72
2023-06-17,67.72
2023-06-18,67.72
2023-06-19,67.72
2023-06-20,68.67
2023-06-21,68.77
2023-06-22,69.41
2023-06-23,69.6
2023-06-24,69.6
2023-06-25,69.6
2023-06-26,69.85
2023-06-27,68.68
2023-06-28,68.14
2023-06-29,68.76
2023-06-30,69.13
2023-07-01,69.13
2023-07-02,69.13
2023-07-03,69.77
2023-07-04,69.77
2023-07-05,69.59
2023-07-06,69.54
2023-07-07,69.17
2023-07-08,69.17
2023-07-09,69.17
2023-07-10,69.36
2023-07-11,71.27
2023-07-12,70.47
2023-07-13,71.22
2023-07-14,71.38
2023-07-15,71.38
2023-07-16,71.38
2023-07-17,71.17
2023-07-18,72.31
2023-07-19,74.38
2023-07-20,74.87
2023-07-21,75.05
2023-07-22,75.05
2023-07-23,75.05
2023-07-24,75.95
2023-07-25,75.66
2023-07-26,75.1
2023-07-27,75.47
2023-07-28,74.61
2023-07-29,74.61
2023-07-30,74.61
2023-07-31,74.69
2023-08-01,73.95
2023-08-02,76.41
2023-08-03,74.32
2023-08-04,72.89
2023-08-05,72.89
2023-08-06,72.89
2023-08-07,73.91
